hand_presence_ratio,hand_present_frames,displacement_mm,velocity_mean,velocity_std,velocity_max,acceleration_mean,direction_consistency,position_x_mean,position_y_mean,position_z_mean,position_std,grab_mean,grab_max,pinch_mean,pinch_max,finger_mean,finger_std,label,source_file
1.0,110,235.10567493674213,262.1307966709962,210.53261326529994,757.5976992643111,19.96548909301156,0.9565236078613399,-133.91928124861283,233.91450590653852,15.479006528989835,64.82054396029422,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,98.73740121718859,181.92849034604137,89.25406086211142,345.0985258782889,12.291116449492867,0.9930587468295067,-165.89772373546253,262.33555242365054,39.53881896205924,24.552989462257425,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,56.4338427354425,77.19918557947584,83.87923332296208,319.5112179304056,5.882479617739061,0.9777653053763771,-135.24612842906606,279.4780625776811,65.46973904696378,7.30300826917912,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,8.927051351169442,25.639054429344267,21.45845794516824,125.18519963858631,3.1763132535888956,0.9496605548064766,-126.2583455172452,278.5100830078125,68.84779503562234,1.3231815941402323,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,10.668087265869092,39.750037608701746,27.49980549910868,127.24832574409885,3.5031958677137642,0.9580906612935474,-122.62202890569513,280.7380753950639,63.43135719299316,3.794907889782754,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,2.878788353563985,33.57451303708134,23.274366127739025,127.24832574409885,2.5141758114765445,0.9783744679416181,-119.94405933726918,281.27927495783024,60.25566791187633,2.3587251753481295,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,17.804585451148384,32.77620348780426,30.01314264502402,114.12826888179791,2.8295651087131213,0.970530114850167,-121.66977268565785,280.792373379794,60.09537419405851,3.029101583289247,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,83.84885258738663,124.81682013721614,103.32484606437527,303.04485691266416,8.010175449568395,0.9782487830895109,-130.50656010020862,294.22884549227626,47.577681974931195,15.744645968589019,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,90.21887066308179,202.8696716882635,85.80705375929412,315.58441629650974,11.949385395944986,0.9835955281772165,-179.8570580915971,308.0214258367365,38.94903859225187,20.242473956198165,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,67.93838223521452,189.90369531502844,79.1430703185294,315.58441629650974,12.098189426361136,0.983064585891779,-187.00922130237927,328.70473771528765,39.11603705666282,20.87727250022217,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,124.99304161458875,210.41069717803515,103.28818396062941,416.3743817484948,13.645126660542713,0.9961018929153302,-143.32967029918325,306.62271492697977,42.428368204290216,24.020322930981806,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,121.07521879120796,133.37414267812395,138.4942807676446,416.3743817484948,8.568975441402083,0.989476126053317,-136.72889168479225,241.602028725364,49.64223636280406,13.860053560743054,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,12.236811644803936,23.385585193361006,7.867813913469313,38.57160010278138,2.346038152730107,0.9737792446433139,-142.6393461747603,219.00782096169212,53.832284892689096,2.515201603996223,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,9.424486794776975,26.750671032558362,7.672519755061656,46.825192182777116,2.3688780040849147,0.9736574718443581,-144.4604135686701,220.8277389526367,54.02568383650346,2.5958468971503685,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,14.295545514347856,31.74117314471252,10.381171968962462,80.3046303191628,4.265614421440293,0.970354771284934,-142.1959429654208,225.60110612349078,56.220829079367896,3.5834144205461986,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,2.344829362075975,31.56078101414841,12.192754542497312,80.3046303191628,4.40683143090399,0.9700145837419748,-142.46470198197798,230.66954872824928,59.238480030406606,2.4413617607943294,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
1.0,110,47.786945522622496,56.57822568900095,48.35352007453224,222.95442687871906,4.176581712253919,0.986226652484195,-134.71732011274858,228.72046841708098,57.43363116871227,5.908788118379598,0.0,0.0,0.0,0.0,5.0,0.0,intentional,intentional_20250925_182021.json
